Date,Region,Product Line,Product,Quantity Sold,Unit Price,Total Sales
01-01-2023,North America,Smartphones,Model A,39,259.3085974,10113.0353
01-01-2023,North America,Smartphones,Model B,15,246.3987884,3695.981825
01-01-2023,North America,Smartphones,Model C,21,131.2037281,2755.27829
01-01-2023,North America,Smartphones,Model D,19,119.9949832,2279.90468
01-01-2023,North America,Laptops,Laptop A,97,833.7086111,80869.73528
01-01-2023,North America,Laptops,Laptop B,113,1208.072578,136512.2013
01-01-2023,North America,Laptops,Laptop C,159,556.411579,88469.44107
01-01-2023,North America,Tablets,Tablet A,92,699.4655845,64350.83377
01-01-2023,North America,Tablets,Tablet B,42,200.4672595,8419.624899
01-01-2023,North America,Tablets,Tablet C,64,310.0427059,19842.73318
01-01-2023,North America,Tablets,Tablet D,80,566.9918963,45359.3517
01-01-2023,North America,Wearables,Smartwatch A,272,114.7917528,31223.35676
01-01-2023,North America,Wearables,Smartwatch B,68,128.716199,8752.701535
01-01-2023,North America,Wearables,Fitness Tracker,189,56.99984948,10772.97155
01-01-2023,Europe,Smartphones,Model A,16,146.5542681,2344.868289
01-01-2023,Europe,Smartphones,Model B,47,223.6772019,10512.82849
01-01-2023,Europe,Smartphones,Model C,44,202.8468877,8925.263058
01-01-2023,Europe,Smartphones,Model D,3,271.9880813,815.964244
01-01-2023,Europe,Laptops,Laptop A,144,670.5241237,96555.47381
01-01-2023,Europe,Laptops,Laptop B,176,513.2649612,90334.63316
01-01-2023,Europe,Laptops,Laptop C,98,1465.632033,143631.9392
01-01-2023,Europe,Tablets,Tablet A,13,209.5797513,2724.536767
01-01-2023,Europe,Tablets,Tablet B,6,610.5398159,3663.238895
01-01-2023,Europe,Tablets,Tablet C,64,273.2229409,17486.26822
01-01-2023,Europe,Tablets,Tablet D,12,220.6331127,2647.597352
01-01-2023,Europe,Wearables,Smartwatch A,225,108.6590911,24448.29551
01-01-2023,Europe,Wearables,Smartwatch B,69,149.3783427,10307.10564
01-01-2023,Europe,Wearables,Fitness Tracker,21,113.7733812,2389.241005
